capabilityId,apiName,getter,setter,source,gdnUrl,applyMode,restoreStrategy,status,notes
save-hardware-scalability,saveHardwareScalability,NONE,saveHardwareScalability,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,NO,CONFIRMED,Called from SettingsModel:saveChanges when SAVE_ENGINE_QUALITY_SETTINGS bit set.
needs-restart-to-apply-changes,SettingsModel:needsRestartToApplyChanges,SettingsModel:needsRestartToApplyChanges,NONE,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,RESTART,NO,CONFIRMED,"Doc: ""True if any setting has been changed"" with restartRequired; also needsProcessRestartToApplyChanges for resolution/fullscreen."
supports-atmosphere-quality,getSupportsAtmosphereQuality,getSupportsAtmosphereQuality,NONE,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,NO,GATED,Paired getSupports* in SettingsModel:addManagedSettings; gate before set.
supports-drs-quality,getSupportsDRSQuality,getSupportsDRSQuality,NONE,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,NO,GATED,Paired getSupports* in SettingsModel:addManagedSettings; gate before set.
supports-ssr-quality,getSupportsScreenSpaceReflectionsQuality,getSupportsScreenSpaceReflectionsQuality,NONE,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,NO,GATED,Paired getSupports* in SettingsModel:addManagedSettings; gate before set.
has-shadow-focus-box,getHasShadowFocusBox,getHasShadowFocusBox,NONE,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,NO,CONFIRMED,Used by SettingsModel shadow-quality reader with getShadowQuality.
light-shadow-priority,setLightShadowPriority,getLightShadowPriority,setLightShadowPriority,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=214,UNKNOWN,YES,CONFIRMED,Doc: higher priority picked first when too many shadows on screen.
light-shadow-map,setLightShadowMap,getLightCastingShadowMap,setLightShadowMap,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=213,UNKNOWN,YES,CONFIRMED,Setter fn=213; getter getLightCastingShadowMap fn=181. Doc: Set light shadow map.
merge-light-shadows,mergeLightShadows,hasMergedShadow,mergeLightShadows,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=200,UNKNOWN,YES — call splitLightShadow / cache merge membership,CONFIRMED,Doc: Merge shadows of multiple lights into approximated representative match. Restore via splitLightShadow.
split-light-shadow,splitLightShadow,hasMergedShadow,splitLightShadow,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=224,UNKNOWN,YES,CONFIRMED,Doc: Splits light from its merged shadow if merged.
merged-shadow-active,setMergedShadowActive,isMergedShadowActive,setMergedShadowActive,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=219,UNKNOWN,YES,CONFIRMED,Merged shadow activate toggle.
merged-shadow-light-size,setMergedShadowLightSize,NONE,setMergedShadowLightSize,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=220,UNKNOWN,YES,CONFIRMED,Merged shadow light size.
merged-shadow-near-plane-offset,setMergedShadowNearPlaneOffset,NONE,setMergedShadowNearPlaneOffset,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=221,UNKNOWN,YES,CONFIRMED,Merged shadow near plane offset.
merged-shadow-settings,setMergedShadowSettings,NONE,setMergedShadowSettings,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=222,UNKNOWN,YES,CONFIRMED,Merged shadow settings blob.
merged-shadow-settings-light,setMergedShadowSettingsLight,getMergedShadowSettingsLight,setMergedShadowSettingsLight,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=223,UNKNOWN,YES,CONFIRMED,Per-light merged shadow settings; getter getMergedShadowSettingsLight.
has-merged-shadow,hasMergedShadow,hasMergedShadow,NONE,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=198,UNKNOWN,NO,CONFIRMED,Query whether light participates in merged shadow.
is-merged-shadow-active,isMergedShadowActive,isMergedShadowActive,NONE,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=199,UNKNOWN,NO,CONFIRMED,Merged shadow active query.
light-soft-shadow-size,setLightSoftShadowSize,getLightSoftShadowSize,setLightSoftShadowSize,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=217,UNKNOWN,YES,CONFIRMED,Doc: soft shadow size = virtual light source size for soft shadows.
light-soft-shadow-distance,setLightSoftShadowDistance,getLightSoftShadowDistance,setLightSoftShadowDistance,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=216,UNKNOWN,YES,CONFIRMED,Soft shadow distance pair.
light-soft-shadow-depth-bias,setLightSoftShadowDepthBiasFactor,getLightSoftShadowDepthBiasFactor,setLightSoftShadowDepthBiasFactor,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=215,UNKNOWN,YES,CONFIRMED,Soft shadow depth bias factor.
light-ies-profile,setLightIESProfile,getLightIESProfile,setLightIESProfile,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=206,UNKNOWN,YES,ASSET_DEPENDENT,"Doc: ""Set IES Light profile as a path to a *.ies file."""
light-ies-cone-angle,getLightConeAngleFromIESProfile,getLightConeAngleFromIESProfile,NONE,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=183,UNKNOWN,NO,ASSET_DEPENDENT,IES-derived cone angle.
light-use-scattering,setLightUseLightScattering,getLightUseLightScattering,setLightUseLightScattering,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=218,UNKNOWN,YES,CONFIRMED,Enable light scattering.
light-scattering-intensity,setLightScatteringIntensity,getLightScatteringIntensity,setLightScatteringIntensity,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=211,UNKNOWN,YES,CONFIRMED,Scattering intensity.
light-scattering-cone-angle,setLightScatteringConeAngle,getLightScatteringConeAngle,setLightScatteringConeAngle,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=209,UNKNOWN,YES,CONFIRMED,Scattering cone.
light-scattering-direction,setLightScatteringDirection,getLightScatteringDirection,setLightScatteringDirection,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=210,UNKNOWN,YES,CONFIRMED,Scattering direction.
light-scattering-color,setLightScatteringColor,NONE,setLightScatteringColor,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=208,UNKNOWN,YES,CONFIRMED,No dedicated getter listed on Lighting category.
light-range,setLightRange,getLightRange,setLightRange,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=207,UNKNOWN,YES,CONFIRMED,Light range.
light-drop-off,setLightDropOff,getLightDropOff,setLightDropOff,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=205,UNKNOWN,YES,CONFIRMED,Light drop-off.
light-cone-angle,setLightConeAngle,getLightConeAngle,setLightConeAngle,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=203,UNKNOWN,YES,CONFIRMED,Spot cone angle.
light-culling-world-properties,setLightCullingWorldProperties,NONE,setLightCullingWorldProperties,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=204,UNKNOWN,YES,CONFIRMED,No getter on Lighting list; behavior needs runtime test.
light-shadow-extrusion,setLightShadowExtrusionDistance,getLightShadowExtrusionDistance,setLightShadowExtrusionDistance,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=212,UNKNOWN,YES,CONFIRMED,Shadow extrusion distance.
light-shadow-ignore-shapes-add,addLightShadowIgnoreShapes,NONE,addLightShadowIgnoreShapes,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=176,UNKNOWN,YES — clear/remove,CONFIRMED,Ignore shapes for light shadows.
light-shadow-ignore-shapes-clear,clearLightShadowIgnoreShapes,NONE,clearLightShadowIgnoreShapes,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=178,UNKNOWN,YES,CONFIRMED,Clear ignore-shape list.
light-shadow-ignore-shapes-remove,removeLightShadowIgnoreShapes,NONE,removeLightShadowIgnoreShapes,Engine Lighting,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=11&function=201,UNKNOWN,YES,CONFIRMED,Remove ignore shapes.
shadow-focus-box,setShadowFocusBox,NONE,setShadowFocusBox,Engine Rendering,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=22&function=641,UNKNOWN,YES — setShadowFocusBox(0),EXPERIMENTAL,"Doc: ""Set active shadow focus box""; shapeId or 0 to reset. Gen-1 risky."
fast-shadow-update,setFastShadowUpdate,NONE,setFastShadowUpdate,Engine Rendering,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=22&function=633,UNKNOWN,YES,EXPERIMENTAL,"Doc: ""Set fast shadow update for camera""; true=fast, false=far shadows. Gen-1 risky."
rain-active-drops-mult,setRainActiveDropsMultiplier,NONE,setRainActiveDropsMultiplier,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=577,UNKNOWN,YES,CONFIRMED,Precipitation category symbol.
rain-amount-mult,setRainAmountMultiplier,getRainAmountMultiplier,setRainAmountMultiplier,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=578,UNKNOWN,YES,CONFIRMED,"Doc: ""Sets multiplier for number of supported rain drops (for hardware settings purposes)."" Getter getRainAmountMultiplier exists under Rendering fn=616."
rain-behind-camera-mirror-buffer,setRainBehindCameraBufferForMirrors,NONE,setRainBehindCameraBufferForMirrors,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=579,UNKNOWN,YES,CONFIRMED,Exact name on Engine Precipitation category v1.20.0.0.
rain-bounce-random-factor,setRainBounceRandomFactor,NONE,setRainBounceRandomFactor,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=580,UNKNOWN,YES,CONFIRMED,Precipitation category symbol.
rain-bounce-restitution,setRainBounceRestitution,NONE,setRainBounceRestitution,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=581,UNKNOWN,YES,CONFIRMED,Precipitation category symbol.
rain-camera-velocity-mult,setRainCameraVelocityMultiplier,NONE,setRainCameraVelocityMultiplier,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=582,UNKNOWN,YES,CONFIRMED,Precipitation category symbol.
rain-distribution-power,setRainDistributionPower,NONE,setRainDistributionPower,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=583,UNKNOWN,YES,CONFIRMED,Exact name on Engine Precipitation category v1.20.0.0.
rain-forward-direction,setRainForwardDirection,NONE,setRainForwardDirection,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=584,UNKNOWN,YES,CONFIRMED,Exact name on Engine Precipitation category v1.20.0.0.
rain-heightmap-collision-threshold,setRainHeightmapCollisionThreshold,NONE,setRainHeightmapCollisionThreshold,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=585,UNKNOWN,YES,CONFIRMED,Exact name on Engine Precipitation category v1.20.0.0.
rain-max-bounces,setRainMaxBounces,NONE,setRainMaxBounces,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=586,UNKNOWN,YES,CONFIRMED,Precipitation category symbol.
rain-max-drops-mult,setRainMaxDropsMultiplier,NONE,setRainMaxDropsMultiplier,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=587,UNKNOWN,YES,CONFIRMED,Precipitation category symbol.
rain-most-concentrated-distance,setRainMostConcentratedDistance,NONE,setRainMostConcentratedDistance,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=588,UNKNOWN,YES,CONFIRMED,Exact name on Engine Precipitation category v1.20.0.0.
rain-random-offset,setRainRandomOffset,NONE,setRainRandomOffset,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=589,UNKNOWN,YES,CONFIRMED,Exact name on Engine Precipitation category v1.20.0.0.
rain-shallow-water-simulation,setRainShallowWaterSimulation,NONE,setRainShallowWaterSimulation,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=590,UNKNOWN,YES,EXPERIMENTAL,Ties rain to shallow-water sim — Gen-1 experimental coupling.
rain-spawn-box-parameters,setRainSpawnBoxParameters,NONE,setRainSpawnBoxParameters,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=591,UNKNOWN,YES,CONFIRMED,Exact name on Engine Precipitation category v1.20.0.0.
rain-spawn-velocity,setRainSpawnVelocity,NONE,setRainSpawnVelocity,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=592,UNKNOWN,YES,CONFIRMED,Exact name on Engine Precipitation category v1.20.0.0.
rain-turbulence-parameters,setRainTurbulenceParameters,NONE,setRainTurbulenceParameters,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=593,UNKNOWN,YES,CONFIRMED,"Doc: ""Set parameters for rain turbulence..."""
rain-weather-type,setRainWeatherType,NONE,setRainWeatherType,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=594,UNKNOWN,YES,CONFIRMED,Pairs with enum RainSimWeatherType (Engine general cat8 fn=131).
rain-wind-force,setRainWindForce,NONE,setRainWindForce,Engine Precipitation,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=21&function=595,UNKNOWN,YES,CONFIRMED,Precipitation category symbol.
rain-sim-weather-type-enum,RainSimWeatherType,NONE,NONE,Engine general,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=8&function=131,UNKNOWN,NO,CONFIRMED,Enum companion for setRainWeatherType.
foliage-bending-create,createFoliageBendingRectangle,NONE,createFoliageBendingRectangle,Engine Foliage,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=engine&category=6&function=77,UNKNOWN,YES — destroyFoliageBendingObject,ASSET_DEPENDENT,Foliage cat6; interaction/bending — asset/scene dependent.
